,end_date,Party,Percent,Weighted,pdf
223,10/24/2017,Democrat,50,0.11113421,0.023255944
224,10/24/2017,Democrat,40,0.115889206,0.070407229
225,10/24/2017,Democrat,36,0.187262803,0.015868945
226,10/23/2017,Democrat,42,0.184661931,0.098007306
227,10/16/2017,Democrat,41,0.119693203,0.085986242
228,10/16/2017,Democrat,42,0.184940596,0.098007306
229,10/15/2017,Democrat,54,0.10676846,0.002160718
230,10/10/2017,Democrat,40,0.112527535,0.070407229
231,10/9/2017,Democrat,43,0.189819443,0.104257115
232,10/3/2017,Democrat,39,0.111525668,0.053805083
233,10/1/2017,Democrat,41,0.180627925,0.085986242
234,9/26/2017,Democrat,40,0.110138979,0.070407229
235,9/25/2017,Democrat,48,0.091826715,0.050420655
236,9/24/2017,Democrat,42,0.184569043,0.098007306
237,9/20/2017,Democrat,49,0.101759127,0.035445601
238,9/19/2017,Democrat,39,0.110231867,0.053805083
239,9/17/2017,Democrat,43,0.189629243,0.104257115
240,9/12/2017,Democrat,40,0.115800741,0.070407229
241,9/11/2017,Democrat,40,0.174806925,0.070407229
242,9/5/2017,Democrat,39,0.112388202,0.053805083
243,9/3/2017,Democrat,43,0.189534143,0.104257115
244,8/29/2017,Democrat,40,0.113058325,0.070407229
245,8/28/2017,Democrat,40,0.176841621,0.070407229
246,8/22/2017,Democrat,39,0.113509497,0.053805083
247,8/21/2017,Democrat,49,0.096123904,0.035445601
248,8/19/2017,Democrat,41,0.180174542,0.085986242
249,8/17/2017,Democrat,46,0.101734799,0.082938097
250,8/15/2017,Democrat,41,0.11624749,0.085986242
251,8/14/2017,Democrat,40,0.176664691,0.070407229
252,8/12/2017,Democrat,47,0.091784694,0.066937947
253,8/8/2017,Democrat,39,0.112388202,0.053805083
254,8/6/2017,Democrat,51,0.103882288,0.014240439
255,8/6/2017,Democrat,43,0.189439043,0.104257115
256,8/1/2017,Democrat,39,0.113509497,0.053805083
257,7/29/2017,Democrat,44,0.191898371,0.103507239
258,7/25/2017,Democrat,40,0.113412185,0.070407229
259,7/24/2017,Democrat,40,0.352179336,0.070407229
260,7/18/2017,Democrat,40,0.111819814,0.070407229
261,7/17/2017,Democrat,50,0.09244597,0.023255944
262,7/15/2017,Democrat,42,0.185219261,0.098007306
263,7/11/2017,Democrat,39,0.109886853,0.053805083
264,7/9/2017,Democrat,43,0.188583144,0.104257115
265,7/4/2017,Democrat,37,0.107197516,0.025543988
266,6/30/2017,Democrat,43,0.189153743,0.104257115
267,6/27/2017,Democrat,47,0.105713515,0.066937947
268,6/27/2017,Democrat,41,0.11597546,0.085986242
269,6/25/2017,Democrat,48,NA,0.050420655
270,6/24/2017,Democrat,42,0.185219261,0.098007306
271,6/20/2017,Democrat,38,0.106817116,0.038374888
272,6/19/2017,Democrat,43,0.195049939,0.104257115
273,6/13/2017,Democrat,38,0.109086245,0.038374888
274,6/12/2017,Democrat,42,0.185683702,0.098007306
275,6/11/2017,Democrat,50,0.089681437,0.023255944
276,6/6/2017,Democrat,41,0.115612753,0.085986242
277,6/2/2017,Democrat,42,0.185683702,0.098007306
278,5/30/2017,Democrat,39,0.109196826,0.053805083
279,5/30/2017,Democrat,43,0.189343943,0.104257115
280,5/23/2017,Democrat,38,0.106396907,0.038374888
281,5/22/2017,Democrat,41,0.175731385,0.085986242
282,5/16/2017,Democrat,40,0.114385301,0.070407229
283,5/14/2017,Democrat,42,0.185869479,0.098007306
284,5/14/2017,Democrat,49,0.074991817,0.035445601
285,5/11/2017,Democrat,42,0.160789639,0.098007306
286,5/9/2017,Democrat,40,0.113058325,0.070407229
287,5/6/2017,Democrat,42,0.185405037,0.098007306
288,5/2/2017,Democrat,38,NA,0.038374888
289,4/30/2017,Democrat,41,0.181171985,0.085986242
290,4/25/2017,Democrat,47,0.104881943,0.066937947
291,4/25/2017,Democrat,39,0.111180654,0.053805083
292,4/25/2017,Democrat,50,0.111576536,0.023255944
293,4/24/2017,Democrat,40,0.179760967,0.070407229
294,4/20/2017,Democrat,47,0.173070799,0.066937947
295,4/18/2017,Democrat,47,0.067357284,0.066937947
296,4/18/2017,Democrat,38,0.107909659,0.038374888
297,4/15/2017,Democrat,40,0.176222366,0.070407229
298,4/12/2017,Democrat,45,0.086485638,0.095907708
299,4/11/2017,Democrat,40,0.117127717,0.070407229
300,4/9/2017,Democrat,43,0.189058643,0.104257115
301,4/1/2017,Democrat,41,0.180899955,0.085986242
302,3/28/2017,Democrat,48,0.071869001,0.050420655
303,3/27/2017,Democrat,47,0.094175462,0.066937947
304,3/12/2017,Democrat,46,0.082201718,0.082938097
305,2/22/2017,Democrat,46,0.095732446,0.082938097
306,2/8/2017,Democrat,49,0.077159211,0.035445601
307,1/31/2017,Democrat,45,0.072154301,0.095907708
308,1/24/2017,Democrat,48,0.110722848,0.050420655
309,11/3/2018,Republican,42,0.106914428,0.038999358
310,11/2/2018,Republican,40,0.173479949,0.079640764
311,11/1/2018,Republican,44,0.07171861,0.013370264
312,10/30/2018,Republican,42,0.120383231,0.038999358
313,10/30/2018,Republican,42,0.128464512,0.038999358
314,10/23/2018,Republican,40,0.065287202,0.079640764
315,10/23/2018,Republican,41,0.111804333,0.058270853
316,10/23/2018,Republican,42,0.191535665,0.038999358
317,10/22/2018,Republican,43,0.095099921,0.023875565
318,10/19/2018,Republican,39,0.169746725,0.099565662
319,10/16/2018,Republican,41,0.1154314,0.058270853
320,10/16/2018,Republican,42,0.078119056,0.038999358
321,10/16/2018,Republican,40,0.105627261,0.079640764
322,10/14/2018,Republican,37,0.160305293,0.119104533
323,10/11/2018,Republican,42,0.069851998,0.038999358
324,10/9/2018,Republican,41,0.10536629,0.058270853
325,10/9/2018,Republican,38,0.169092083,0.113860707
326,10/7/2018,Republican,38,0.18396748,0.113860707
327,10/2/2018,Republican,40,0.108546608,0.079640764
328,10/2/2018,Republican,38,0.154636895,0.113860707
329,10/2/2018,Republican,38,0.07975566,0.113860707
330,9/30/2018,Republican,42,0.103198896,0.038999358
331,9/29/2018,Republican,36,0.079061209,0.11396535
332,9/25/2018,Republican,38,0.104043737,0.113860707
333,9/25/2018,Republican,41,0.129214253,0.058270853
334,9/24/2018,Republican,41,0.072722689,0.058270853
335,9/24/2018,Republican,42,0.133666257,0.038999358
336,9/23/2018,Republican,35,0.15218199,0.099748756
337,9/23/2018,Republican,42,0.12149789,0.038999358
338,9/19/2018,Republican,42,0.075982625,0.038999358
339,9/19/2018,Republican,35,0.069666221,0.099748756
340,9/18/2018,Republican,41,0.10835862,0.058270853
341,9/18/2018,Republican,41,0.118242377,0.058270853
342,9/16/2018,Republican,38,0.131441361,0.113860707
343,9/11/2018,Republican,41,0.110625536,0.058270853
344,9/11/2018,Republican,41,0.182441458,0.058270853
345,9/9/2018,Republican,38,0.087235379,0.113860707
346,9/9/2018,Republican,35,0.153884942,0.099748756
347,9/4/2018,Republican,40,0.110935164,0.079640764
348,9/4/2018,Republican,35,0.155742708,0.099748756
349,9/2/2018,Republican,43,0.074082839,0.023875565
350,8/31/2018,Republican,40,0.173745345,0.079640764
351,8/29/2018,Republican,38,0.073872734,0.113860707
352,8/28/2018,Republican,39,0.107730518,0.099565662
353,8/28/2018,Republican,34,0.219570237,0.079860545
354,8/24/2018,Republican,36,0.124523395,0.11396535
355,8/21/2018,Republican,38,0.084798167,0.113860707
356,8/21/2018,Republican,38,0.104800113,0.113860707
357,8/21/2018,Republican,37,0.154249861,0.119104533
358,8/19/2018,Republican,43,0.068947443,0.023875565
359,8/18/2018,Republican,36,0.157166995,0.11396535
360,8/14/2018,Republican,40,0.110581304,0.079640764
361,8/14/2018,Republican,36,0.148090482,0.11396535
362,8/13/2018,Republican,42,0.109143747,0.038999358
363,8/12/2018,Republican,38,0.167579331,0.113860707
364,8/12/2018,Republican,41,0.083513212,0.058270853
365,8/12/2018,Republican,39,0.345013668,0.099565662
366,8/7/2018,Republican,41,0.116882226,0.058270853
367,8/7/2018,Republican,39,0.127568804,0.099565662
368,8/6/2018,Republican,36,0.158759366,0.11396535
369,7/31/2018,Republican,40,0.108104283,0.079640764
370,7/31/2018,Republican,36,0.125080724,0.11396535
371,7/30/2018,Republican,37,0.163087518,0.119104533
372,7/24/2018,Republican,38,0.101102274,0.113860707
373,7/24/2018,Republican,37,0.095332142,0.119104533
374,7/23/2018,Republican,38,0.167747415,0.113860707
375,7/23/2018,Republican,39,0.101520272,0.099565662
376,7/22/2018,Republican,40,0.081653235,0.079640764
377,7/22/2018,Republican,37,0.075856563,0.119104533
378,7/17/2018,Republican,37,0.10408797,0.119104533
